gene therapy,2001,471
gene therapy,2002,339
gene therapy,2003,245
gene therapy,2004,277
gene therapy,2005,360
gene therapy,2006,256
gene therapy,2007,292
gene therapy,2008,245
gene therapy,2009,181
gene therapy,2010,172
gene therapy,2011,291
gene therapy,2012,213
gene therapy,2013,272
gene therapy,2014,445
gene therapy,2015,677
gene therapy,2016,849
cell atlas,2001,0
cell atlas,2002,0
cell atlas,2003,0
cell atlas,2004,0
cell atlas,2005,0
cell atlas,2006,0
cell atlas,2007,0
cell atlas,2008,0
cell atlas,2009,0
cell atlas,2010,0
cell atlas,2011,0
cell atlas,2012,0
cell atlas,2013,0
cell atlas,2014,0
cell atlas,2015,0
cell atlas,2016,5
immune engineering,2001,0
immune engineering,2002,0
immune engineering,2003,0
immune engineering,2004,0
immune engineering,2005,0
immune engineering,2006,0
immune engineering,2007,0
immune engineering,2008,0
immune engineering,2009,0
immune engineering,2010,0
immune engineering,2011,0
immune engineering,2012,0
immune engineering,2013,0
immune engineering,2014,1
immune engineering,2015,1
immune engineering,2016,3
DNA app store,2001,0
DNA app store,2002,0
DNA app store,2003,0
DNA app store,2004,0
DNA app store,2005,0
DNA app store,2006,0
DNA app store,2007,0
DNA app store,2008,0
DNA app store,2009,0
DNA app store,2010,0
DNA app store,2011,0
DNA app store,2012,0
DNA app store,2013,0
DNA app store,2014,0
DNA app store,2015,0
DNA app store,2016,0
liquid biopsy,2001,0
liquid biopsy,2002,0
liquid biopsy,2003,0
liquid biopsy,2004,0
liquid biopsy,2005,0
liquid biopsy,2006,0
liquid biopsy,2007,1
liquid biopsy,2008,0
liquid biopsy,2009,0
liquid biopsy,2010,2
liquid biopsy,2011,3
liquid biopsy,2012,4
liquid biopsy,2013,9
liquid biopsy,2014,28
liquid biopsy,2015,210
liquid biopsy,2016,253
internet of dna,2001,58
internet of dna,2002,79
internet of dna,2003,91
internet of dna,2004,154
internet of dna,2005,92
internet of dna,2006,83
internet of dna,2007,63
internet of dna,2008,110
internet of dna,2009,66
internet of dna,2010,85
internet of dna,2011,64
internet of dna,2012,75
internet of dna,2013,63
internet of dna,2014,37
internet of dna,2015,31
internet of dna,2016,38
Brain mapping,2001,6
Brain mapping,2002,2
Brain mapping,2003,21
Brain mapping,2004,11
Brain mapping,2005,6
Brain mapping,2006,14
Brain mapping,2007,24
Brain mapping,2008,14
Brain mapping,2009,19
