car to car communication,car to car communication,Vehicular communication system,Vehicle-to-vehicle,V2V,
Mobile payment,Mobile wallet payment,apple pay,samsung pay,digital wallet,
Blockchain,blockchain,cryptocurrency,cryptography,bitcoin,
Virtual Reality,Virtual Reality,VR,Augmented reality,AR,
Agile robots,Agile robots,Agile robotics,agility robotics,,
Smart watches,Smart watch,,,,
Deep learning,Deep learning,deep structured learning,hierarchical learning,,
3d printing,Additive manufacturing,3d printing,3d printer,,
Temporary social media,Temporary social media,,,,
Industrial robotics,Industrial robotics,Industrial robot,,,
A faster fourier transform,faster fourier transform,fast fourier transform,FFT,,
Gestural interfaces,Gestural interface,Gestural recognition,,,
Cloud streaming,Cloud streaming,,,,
Social indexing,Social indexing,Folksonomy,collaborative tagging,social tagging,
3d transistors,Multigate?device,MuGFET,3d transistors,,
Homomorphic encryption,Homomorphic encryption,,,,
Solid-state batteries,Solid-state battery,solid electrolyte battery,,,
Social tv,Social tv,Social television,,,
Cloud programming,Cloud programming,,,,
Intelligent software assistant,Intelligent software assistant,Virtual assistant,Automated Personal?Assistants,Intelligent?Personal?Assistants,
Software-defined networking,Software-defined networking,SDN,,,
Offline web applications,Offline web applications,,,,
smartphone,smartphone,smart mobile phone,,,
Probabilistic chips,Probabilistic chips,Probabilistic processor,,,
Reality mining,Reality mining,,,,
Atomic magnetometers,Atomic magnetometers,,,,
Supergrids,supergrid,,,,
DVD,DVD,digital video disc,digital versatile disc,,
Cognitive radio,Cognitive radio,,,,
Universal authentication,Universal authentication,SSO,Single sign-on,,
Diffusion tensor imaging,Diffusion tensor imaging,DTI,,,
smart grid,Smart transformer,smart grid,,,
Stretchable silicon,Stretchable silicon,stretchy silicon,,,
Airborne Networks,Airborne Network,Airborne networking,,,
Mobile malware,Cell Phone Virus,smartphone virus,,,
Universal Translation,Universal Translation,Universal Translator,,,
Electrical grid,Power Grid,Electrical grid,Electrical power grid,,
Biometrics,Biometric,,,,
Natural Language Processing,Natural Language Processing,NLP,,,
Microphotonics,Microphotonics,Micro photonics,Micro-photonics,,
Digital Rights Management,Digital Rights Management,DRM,,,
Data Mining,Data Mining,knowledge-discovery in databases,,,
Distributed Storage,Distributed Storage,Distributed Data Store,,,
Drone,UAV,Drone,Unmanned Aerial Vehicle,,
Desalination,desalination,,,,
Photovoltaic energy,solar cell,solar panel,solar electric,Photovoltaics,
solarthermal energy,Solar thermal collector,Solar thermal?energy,Solar thermal systems,Solar thermal electricity,
geothermal energy,geothermal energy,Geothermal Electricity,Geothermal Heat Pumps,,
wind energy,wind power generator,wind energy,wind farm,Wind Turbines,
biomass,biomass,bioenergy,,,
Enviromatics,Enviromatics,Environmental informatics,,,
biofuel,biofuel,biodiesel,biobutanol,,
natural gas,natural gas,Shale gas,,,
bioplastic,bioplastic,,,,
HEV,Hybrid car,HEV,Hybrid electric car,Hybrid vehicle,Hybrid electric vehicle
Green concrete,Green concrete,,,,
Liquid battery,Liquid battery,,,,
Hydropower,Hydropower,Tidal power,,,
